,importance
OverallCond,0.6246
2ndFlrSF,0.0513
BsmtFullBath,0.045
WoodDeckSF,0.0318
OverallQual,0.0266
BsmtFinSF2,0.0236
HalfBath,0.0204
Fireplaces,0.0133
GarageYrBlt,0.0124
BsmtFinSF1,0.0123
GarageArea,0.0123
LotArea,0.0105
EnclosedPorch,0.008
BsmtQual_Ex,0.0072
MasVnrArea,0.0068
YrSold,0.0062
1stFlrSF,0.0057
YearRemodAdd,0.0053
OpenPorchSF,0.0045
GarageCars,0.0039
YearBuilt,0.0039
GarageType_Detchd,0.0034
KitchenAbvGr,0.0026
Id,0.0022
YrMoSold,0.0022
MSSubClass,0.0021
BedroomAbvGr,0.0019
BsmtExposure_Gd,0.0015
LotFrontage,0.0015
GarageType_Attchd,0.0014
BsmtUnfSF,0.0012
GarageType_BuiltIn,0.0012
LogSalePrice,0.0012
SaleCondition_Normal,0.0011
PoolArea,0.0011
ExterQual_Gd,0.001
GarageFinish_Fin,0.001
BsmtQual_Gd,0.001
BsmtHalfBath,0.001
Neighborhood_StoneBr,0.001
CentralAir_N,0.0009
LandSlope_Gtl,0.0009
KitchenQual_Ex,0.0009
GarageFinish_Unf,0.0008
Neighborhood_Crawfor,0.0008
Neighborhood_NoRidge,0.0008
BsmtFinType1_GLQ,0.0008
KitchenQual_Gd,0.0007
BldgType_1Fam,0.0007
RoofStyle_Gable,0.0007
Foundation_PConc,0.0006
SaleType_WD,0.0006
LotConfig_Inside,0.0006
Exterior_VinylSd,0.0006
FireplaceQu_Gd,0.0006
HouseStyle_1Story,0.0006
TotRmsAbvGrd,0.0006
FireplaceQu_TA,0.0006
HouseStyle_2.5Fin,0.0005
HeatingQC_TA,0.0005
MasVnrType_BrkFace,0.0005
3SsnPorch,0.0005
Exterior_Plywood,0.0005
Exterior_MetalSd,0.0005
MSZoning_RL,0.0005
MSZoning_RM,0.0005
LotShape_Reg,0.0005
LandContour_Lvl,0.0005
BsmtExposure_No,0.0004
SaleCondition_Family,0.0004
RoofStyle_Gambrel,0.0004
ScreenPorch,0.0004
GarageQual_TA,0.0004
Neighborhood_IDOTRR,0.0004
KitchenQual_TA,0.0004
Neighborhood_NAmes,0.0004
SaleCondition_Abnorml,0.0004
ExterCond_TA,0.0003
FireplaceQu_Ex,0.0003
Exterior_Wd Sdng,0.0003
Neighborhood_Edwards,0.0003
BsmtCond_TA,0.0003
GarageFinish_RFn,0.0003
MasVnrType_BrkCmn,0.0003
LotShape_IR1,0.0003
MasVnrType_Stone,0.0003
Neighborhood_NWAmes,0.0003
HeatingQC_Ex,0.0003
HeatingQC_Gd,0.0003
LandContour_Bnk,0.0003
Exterior_BrkFace,0.0003
MasVnrType_None,0.0002
ExterCond_Gd,0.0002
CentralAir_Y,0.0002
Foundation_BrkTil,0.0002
Foundation_CBlock,0.0002
Exterior_Other,0.0002
