DATE,CSUSHPINSA
1/1/87,63.754
2/1/87,64.154
3/1/87,64.489
4/1/87,64.994
5/1/87,65.569
6/1/87,66.239
7/1/87,66.803
8/1/87,67.285
9/1/87,67.638
10/1/87,67.917
11/1/87,68.107
12/1/87,68.358
1/1/88,68.596
2/1/88,68.928
3/1/88,69.336
4/1/88,69.799
5/1/88,70.418
6/1/88,71.077
7/1/88,71.695
8/1/88,72.195
9/1/88,72.584
10/1/88,72.832
11/1/88,73.075
12/1/88,73.287
1/1/89,73.624
2/1/89,73.973
3/1/89,74.415
4/1/89,74.873
5/1/89,75.302
6/1/89,75.703
7/1/89,76.049
8/1/89,76.28
9/1/89,76.428
10/1/89,76.493
11/1/89,76.524
12/1/89,76.499
1/1/90,76.527
2/1/90,76.587
3/1/90,76.79
4/1/90,77.041
5/1/90,77.299
6/1/90,77.504
7/1/90,77.556
8/1/90,77.473
9/1/90,77.222
10/1/90,76.906
11/1/90,76.375
12/1/90,75.966
1/1/91,75.527
2/1/91,75.249
3/1/91,75.14
4/1/91,75.313
5/1/91,75.769
6/1/91,76.253
7/1/91,76.509
8/1/91,76.586
9/1/91,76.571
10/1/91,76.286
11/1/91,76.033
12/1/91,75.833
1/1/92,75.696
2/1/92,75.652
3/1/92,75.811
4/1/92,76.078
5/1/92,76.397
6/1/92,76.602
7/1/92,76.711
8/1/92,76.732
9/1/92,76.63
10/1/92,76.601
11/1/92,76.582
12/1/92,76.468
1/1/93,76.399
2/1/93,76.331
3/1/93,76.386
4/1/93,76.663
5/1/93,77.032
6/1/93,77.518
7/1/93,77.886
8/1/93,78.132
9/1/93,78.201
10/1/93,78.177
11/1/93,78.177
12/1/93,78.12
1/1/94,78.205
2/1/94,78.211
3/1/94,78.357
4/1/94,78.711
5/1/94,79.219
6/1/94,79.712
7/1/94,80.074
8/1/94,80.326
9/1/94,80.348
10/1/94,80.31
11/1/94,80.175
12/1/94,80.085
1/1/95,80.036
2/1/95,80.006
3/1/95,80.095
4/1/95,80.388
5/1/95,80.71
6/1/95,81.086
7/1/95,81.429
8/1/95,81.672
9/1/95,81.757
10/1/95,81.747
11/1/95,81.652
12/1/95,81.535
1/1/96,81.449
2/1/96,81.422
3/1/96,81.688
4/1/96,82.147
5/1/96,82.624
6/1/96,83.073
7/1/96,83.446
8/1/96,83.674
9/1/96,83.73
10/1/96,83.656
11/1/96,83.583
12/1/96,83.516
1/1/97,83.555
2/1/97,83.619
3/1/97,83.936
4/1/97,84.35
5/1/97,84.896
6/1/97,85.43
7/1/97,85.873
8/1/97,86.181
9/1/97,86.341
10/1/97,86.438
11/1/97,86.662
12/1/97,86.878
1/1/98,87.195
2/1/98,87.405
3/1/98,87.909
4/1/98,88.589
5/1/98,89.404
6/1/98,90.224
7/1/98,90.889
8/1/98,91.436
9/1/98,91.78
10/1/98,92.027
11/1/98,92.225
12/1/98,92.471
1/1/99,92.742
2/1/99,93.008
3/1/99,93.64
4/1/99,94.466
5/1/99,95.392
6/1/99,96.394
7/1/99,97.222
8/1/99,97.927
9/1/99,98.432
10/1/99,98.867
11/1/99,99.187
12/1/99,99.58
1/1/00,100
2/1/00,100.57
3/1/00,101.465
4/1/00,102.541
5/1/00,103.703
6/1/00,104.856
7/1/00,105.722
8/1/00,106.521
9/1/00,107.135
10/1/00,107.728
11/1/00,108.291
12/1/00,108.792
1/1/01,109.215
2/1/01,109.643
3/1/01,110.395
4/1/01,111.248
5/1/01,112.203
6/1/01,113.274
7/1/01,114.229
8/1/01,114.99
9/1/01,115.467
10/1/01,115.682
11/1/01,115.839
12/1/01,116.055
1/1/02,116.437
2/1/02,116.918
3/1/02,117.931
4/1/02,119.211
5/1/02,120.79
6/1/02,122.334
7/1/02,123.687
8/1/02,124.729
9/1/02,125.493
10/1/02,126.135
11/1/02,126.64
12/1/02,127.149
1/1/03,127.651
2/1/03,128.327
3/1/03,129.31
4/1/03,130.49
5/1/03,131.84
6/1/03,133.225
7/1/03,134.645
